,art_id,to_pick,weight,volume,tour_id,box_position_on_cart,box_type,order_time_sec,num_cluster
7882,170688,1,0.262,311.36,210131,4,2,6.381587000000001,1
7883,170681,1,0.262,311.36,210131,4,2,4.0886450000000005,1
7884,321157,1,0.28,840.84,210131,4,2,5.807736,1
7885,358734,2,2.67,16871.05,210131,4,2,26.279591,4
7886,388893,1,0.28,840.84,210131,4,2,3.6971960000000004,1
7887,556913,1,0.262,311.36,210131,4,2,5.536449,1
7888,519686,1,0.138,2266.25,210131,4,2,3.2538820000000004,1
7889,652244,1,1.7069999999999999,5506.49,209834,2,2,3.2167220000000003,1
7890,341023,1,5.15,43094.0,209834,2,2,12.807387,4
7891,358734,1,2.67,16871.05,209834,2,2,9.552816,4
7892,815757,6,0.68,3951.36,213870,1,4,11.450571,0
7893,356207,1,0.54,991.44,213870,1,4,4.272683000000001,0
7894,505899,1,0.58,997.15,213870,1,4,5.221415,0
7895,316804,4,0.675,2163.42,213870,1,4,17.511108,0
7896,357111,1,0.17300000000000001,580.94,222299,21,5,2.375757,2
7897,464858,2,0.17300000000000001,657.36,222299,21,5,10.055748000000001,2
7898,276656,1,0.17600000000000002,376.2,222299,21,5,3.9157240000000004,2
7899,567790,1,0.34,544.5,222299,21,5,2.588692,2
7900,795940,1,0.23399999999999999,408.38,222299,21,5,3.9486320000000004,2
7901,571423,1,0.34600000000000003,498.4,222299,21,5,2.424529,2
7902,647654,1,0.22,338.18,222299,21,5,4.3704,2
7903,616642,1,0.17800000000000002,390.83,222299,21,5,7.620684000000001,2
7904,431014,1,0.23399999999999999,408.38,222299,21,5,4.592939,2
7905,404156,1,0.56,877.5,222299,21,5,5.861799,2
7906,978064,1,0.17,580.32,222299,21,5,4.957573,2
7907,819233,1,0.032,405.38,222299,21,5,3.5814820000000003,2
7908,988089,1,0.228,356.05,222299,21,5,4.8020640000000006,2
7909,450328,1,0.335,544.5,222299,21,5,14.216979,2
7910,836564,2,0.33899999999999997,498.4,222299,21,5,33.252426,2
7911,457694,1,0.183,439.43,222299,21,5,2.8524670000000003,2
7912,713991,1,0.345,498.4,222299,21,5,2.9379720000000002,2
7913,748679,2,0.34700000000000003,498.4,222299,21,5,10.802205,2
7914,746105,1,0.34600000000000003,498.4,222299,21,5,5.358509000000001,2
7915,748637,2,0.34600000000000003,498.4,222299,21,5,7.476263,2
7916,847753,1,0.34600000000000003,498.4,222299,21,5,2.541478,2
7917,812355,2,0.053,159.84,222471,11,1,17.841823,1
7918,103642,1,0.557,1148.16,222471,11,1,4.824053,1
7919,404156,1,0.56,877.5,222471,11,1,9.741216000000001,1
7920,457394,1,0.107,104.4,222471,11,1,5.650062,1
7921,287102,1,0.34299999999999997,535.28,222471,11,1,4.8538570000000005,1
7922,707157,1,0.187,234.65,222471,11,1,5.2207490000000005,1
7923,257855,1,0.24,368.02,222471,11,1,6.551764,1
7924,612034,1,0.444,831.19,222471,11,1,10.206561,1
7925,445761,2,0.08800000000000001,203.11,222471,11,1,6.858412,1
7926,102696,2,0.17,339.68,222471,11,1,7.837782000000001,1
7927,236058,1,0.287,585.0,222471,11,1,6.469858,1
7928,639269,2,0.156,236.78,222471,11,1,6.073207,1
7929,618147,1,0.732,6391.85,222471,11,1,9.799119000000001,1
7930,687300,1,0.341,529.2,222471,11,1,3.577112,1
7931,693993,1,0.34,520.8,222471,11,1,4.678213,1
7932,340264,1,0.038,54.0,222471,11,1,13.300049000000001,1
7933,839850,1,0.45299999999999996,2975.63,222471,11,1,9.329959,1
7934,811410,1,0.142,989.33,222471,11,1,12.609263,1
7935,846835,1,0.21899999999999997,717.75,222471,11,1,6.318487,1
7936,351049,2,0.11,2071.88,222299,6,5,10.428888,0
7937,696362,1,0.07,240.79,222299,6,5,4.728489000000001,0
7938,463668,1,0.149,1478.59,222299,6,5,7.566927000000001,0
7939,707167,1,0.348,700.04,222299,6,5,3.872682,0
7940,620614,1,0.217,539.0,222299,6,5,6.468186,0
7941,415366,1,0.34299999999999997,522.05,222299,6,5,5.30464,0
7942,424048,1,1.11,1777.88,222299,6,5,4.453045,0
7943,720216,1,0.132,362.5,222299,6,5,9.474413,0
7944,533283,1,0.124,192.56,222299,13,5,5.2713280000000005,0
7945,437757,1,0.063,135.0,222299,13,5,3.908904,0
7946,335828,1,0.065,67.5,222299,13,5,3.7514960000000004,0
7947,832141,1,0.27899999999999997,403.16,222299,13,5,5.363635,0
7948,256479,1,0.043,104.13,222299,13,5,7.900968000000001,0
7949,816113,1,0.067,585.0,222299,13,5,2.650574,0
7950,311990,1,0.55,1295.53,222299,13,5,3.6866350000000003,0
7951,448907,1,0.23199999999999998,361.42,222299,13,5,3.2997310000000004,0
7952,550674,1,0.063,135.0,222299,13,5,3.4059540000000004,0
7953,607634,1,0.044000000000000004,124.2,222299,13,5,4.033609,0
7954,258582,1,0.24,496.13,222299,13,5,5.464374,0
7955,607095,1,0.18,364.5,222299,13,5,17.643266,0
7956,421129,1,0.013999999999999999,94.5,222299,13,5,4.024648,0
7957,461445,1,0.06,910.0,222299,13,5,5.228604000000001,0
7958,43048,1,0.317,575.0,222503,5,4,3.3954050000000002,0
7959,633058,1,0.19399999999999998,1045.0,222503,5,4,6.879723,0
7960,617916,3,0.996,13825.76,222503,5,4,29.090171,0
7961,633058,1,0.19399999999999998,1045.0,222503,5,4,2.9977910000000003,0
7962,636174,1,0.20800000000000002,401.38,222503,5,4,2.3048450000000003,0
7963,281262,1,1.19,1997.27,222503,5,4,2.3042580000000004,0
7964,816564,3,0.045,120.0,213580,24,3,7.479698000000001,2
7965,449524,1,0.021,28.93,213580,24,3,3.4307060000000003,2
7966,834641,3,0.040999999999999995,120.0,213580,24,3,6.755185,2
7967,420560,2,0.67,2125.0,224463,4,4,12.15943,0
7968,281850,3,0.17,687.5,224463,4,4,9.076151000000001,0
7969,415916,1,0.013999999999999999,136.0,224463,4,4,3.5149500000000002,0
7970,358734,2,2.67,16871.05,224463,4,4,13.912487,4
7971,46443,2,0.84,2860.0,224463,4,4,9.346785,0
7972,45920,1,0.10800000000000001,171.99,224463,4,4,1.4303590000000002,0
7973,514382,1,0.005,7.3,224463,4,4,3.0511600000000003,0
7974,739088,1,0.02,1120.0,224463,4,4,8.757371000000001,0
7975,471931,1,0.012,154.88,224463,4,4,2.232119,0
7976,526401,1,0.033,429.3,224463,4,4,1.207114,0
7977,819576,1,0.019,98.66,224463,4,4,23.947833000000003,0
7978,640270,1,0.107,152.77,224463,4,4,3.278972,0
7979,794657,1,0.038,429.3,224463,4,4,2.964294,0
7980,450268,1,0.028999999999999998,638.4,224463,4,4,1.368117,0
7981,617644,4,0.084,200.77,213718,3,2,32.181516,1
7982,278214,3,0.07,143.56,213718,3,2,7.193965,1
7983,654190,6,0.08800000000000001,257.6,213718,3,2,20.517305,1
7984,311517,5,3.6,12960.0,213718,3,2,45.498355000000004,4
7985,311517,5,3.6,12960.0,213718,4,2,37.597061000000004,4
7986,446280,1,0.054000000000000006,243.0,224451,4,4,3.460385,0
7987,464531,1,0.055999999999999994,113.52,224451,4,4,2.4559520000000004,0
7988,820288,1,0.28,574.56,224451,4,4,3.5679790000000002,0
7989,538550,1,0.055999999999999994,504.0,224451,4,4,2.447552,0
7990,35773,1,0.07200000000000001,1579.6,224451,4,4,3.1790040000000004,0
7991,479195,1,0.086,1015.2,224451,4,4,2.853861,0
7992,213586,2,0.68,2579.94,224451,4,4,8.10289,0
7993,655326,1,0.013000000000000001,432.0,224451,4,4,5.188754,0
7994,358754,2,0.461,3068.5,224451,4,4,8.676761,0
7995,468671,1,0.3,574.56,224451,4,4,4.304166,0
7996,794648,1,0.02,427.99,224451,4,4,4.870474000000001,0
7997,745934,1,0.04,304.2,224451,4,4,3.322674,0
7998,385152,2,0.05,237.6,224451,4,4,7.97684,0
7999,620593,1,0.049,327.75,224451,4,4,5.093968,0
8000,358755,1,0.9,6010.65,224451,4,4,4.003019,0
8001,7953,1,0.05,484.34,224451,4,4,1.5728330000000001,0
8002,347427,3,0.34700000000000003,498.4,224451,4,4,16.392701000000002,0
8003,468540,1,0.28,574.56,224451,4,4,3.546424,0
8004,468558,1,0.3,574.56,224451,4,4,2.9747950000000003,0
8005,500709,1,0.035,303.6,224451,4,4,2.450054,0
8006,546609,1,0.11,351.0,224451,4,4,2.9714020000000003,0
8007,578296,1,0.09,739.13,224451,4,4,4.745611,0
8008,527410,1,0.092,250.0,214015,2,6,3.384347,0
8009,578362,1,6.1,53550.0,224448,1,6,8.705546,4
8010,712528,1,0.037000000000000005,429.3,213588,13,5,4.769751,0
8011,612308,6,1.032,1058.61,213588,13,5,44.833855,0
8012,990144,1,0.065,91.29,213588,13,5,5.2450790000000005,0
8013,645112,1,0.188,1.0,213588,13,5,3.05247,0
8014,639776,1,0.07,1.0,213588,13,5,3.2364640000000002,0
8015,469246,2,0.51,1140.0,213588,13,5,4.280462,0
8016,639379,1,0.15,1.0,213588,13,5,2.175433,0
8017,644942,1,0.1,0.53,213588,13,5,6.320595,0
8018,447200,12,0.31,2811.25,213637,6,4,30.644625,0
8019,988650,2,1.445,12345.43,213758,8,4,6.696198000000001,0
8020,646313,2,1.75,14456.6,213758,8,4,15.556517000000001,0
8021,594438,4,1.14,6976.75,213849,7,4,14.908691000000001,0
8022,334670,4,0.345,870.48,213849,7,4,27.327224,0
8023,480127,10,1.037,1017.9,213849,7,4,30.942081,0
8024,480127,14,1.037,1017.9,213849,8,4,41.699317,0
8025,452936,1,0.2,314.71,213584,13,3,3.7974650000000003,0
8026,320393,1,0.027000000000000003,141.75,213584,13,3,3.667222,0
8027,472499,1,0.045,141.36,213584,13,3,5.73653,0
8028,632018,2,0.191,2025.0,210165,1,2,10.708681,1
8029,447587,1,0.152,311.36,210165,1,2,2.460881,1
8030,358734,2,2.67,16871.05,210165,1,2,15.972438,4
8031,568229,1,0.008,73.75,210165,1,2,2.951385,1
8032,476219,1,0.035,1754.5,210165,1,2,1.3079370000000001,1
8033,599399,1,5.249,20763.6,210165,1,2,17.573949000000002,4
8034,917559,1,0.22399999999999998,3985.8,210165,1,2,4.121151,1
8035,655860,1,0.16,276.17,210165,1,2,0.9408120000000001,1
8036,722818,1,0.475,1612.62,210165,1,2,1.5431370000000002,1
8037,595267,2,0.069,700.0,224432,4,2,4.974468,1
8038,278214,1,0.07,143.56,224432,4,2,1.491988,1
8039,350252,1,0.22,960.96,224432,4,2,1.2509860000000002,1
8040,397004,1,0.013000000000000001,27.51,224432,4,2,1.31243,1
8041,304713,3,0.292,1720.4,224432,4,2,10.446677000000001,1
8042,521819,1,4.657,34713.64,224432,4,2,12.478311000000001,4
8043,976688,2,0.10800000000000001,186.3,224432,4,2,9.098029,1
8044,571614,1,0.177,567.22,224432,4,2,2.914917,1
8045,449099,1,1.05,2381.38,224432,4,2,1.5120090000000002,1
8046,599399,1,5.249,20763.6,224432,4,2,7.921746000000001,4
8047,278986,1,0.012,27.51,224432,4,2,1.914039,1
8048,107650,1,0.21,408.38,224432,4,2,7.369325000000001,1
8049,616895,2,0.105,194.4,224432,4,2,5.232975000000001,1
8050,179210,1,0.026000000000000002,119.95,224432,4,2,1.6691710000000002,1
8051,595270,2,0.069,700.0,224432,4,2,9.821619,1
8052,622008,1,0.11900000000000001,900.0,224432,4,2,1.6965350000000001,1
8053,595281,2,0.08,700.0,224432,4,2,4.93302,1
8054,594598,2,0.166,375.38,224432,4,2,5.371605000000001,1
